model,strategy,biology,civics,geography,history
GPT-OSS 120B,cot,62.0,38.8,67.4,69.0
GPT-OSS 120B,few-shot,66.7,41.9,67.4,69.0
GPT-OSS 120B,self-cons,63.6,38.8,67.4,69.0
GPT-OSS 120B,zero-shot,68.2,42.6,64.3,68.2
Llama 3.1 8B,cot,47.3,41.1,61.2,65.1
Llama 3.1 8B,few-shot,48.8,38.8,64.3,65.9
Llama 3.1 8B,self-cons,47.3,40.3,60.5,65.1
Llama 3.1 8B,zero-shot,48.8,34.1,59.7,58.9
Qwen3 235B,cot,72.1,42.6,78.3,79.8
Qwen3 235B,few-shot,69.0,41.1,79.1,79.1
Qwen3 235B,self-cons,72.1,44.2,78.3,79.1
Qwen3 235B,zero-shot,70.5,40.3,79.1,82.2
Vistral 7B,cot,47.3,34.9,49.6,60.5
Vistral 7B,few-shot,44.2,33.3,65.9,66.7
Vistral 7B,self-cons,38.8,38.0,44.2,58.1
Vistral 7B,zero-shot,41.1,34.1,52.7,56.6
